avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
1.1582,1.716,-0.09,-0.25,45.0,0.0,1.0,3.0,5.0,335.4579000335458,1.0,11.0
1.17335,1.7205,0.0,-0.31,44.0,0.0,1.0,0.0,7.0,335.5704697986577,1.0,10.0
1.0843,1.629,-0.22,-0.12,59.0,1.0,0.0,4.0,4.0,335.795836131632,4.0,15.0
1.15015,1.6845,-0.03,-0.23,50.0,0.0,2.0,1.0,1.0,335.6831151393085,1.0,8.0
1.1000999999999999,1.683,-0.13,-0.52,49.0,1.0,4.0,1.0,4.0,336.58700774150117,1.0,11.0
1.09115,1.6545,-0.13,-0.41,53.0,1.0,2.0,1.0,7.0,337.38191632928476,0.0,7.0
1.0931999999999997,1.626,-0.13,-0.19,57.0,1.0,1.0,1.0,3.0,337.609723160027,1.0,8.0
1.1966499999999998,1.7595,-0.13,-0.09,38.0,1.0,0.0,1.0,3.0,335.2329869259135,1.0,11.0
1.07055,1.6665,-0.36,-0.24,50.0,3.0,0.0,2.0,8.0,337.95201081446436,2.0,12.0
1.1899499999999998,1.7085,-0.03,0.0,45.0,0.0,0.0,1.0,0.0,336.47375504710635,2.0,6.0
1.1662,1.746,-0.2,-0.16,39.0,2.0,1.0,0.0,2.0,335.9086328518643,1.0,8.0
1.18545,1.7235,-0.03,-0.15,43.0,0.0,0.0,1.0,5.0,336.02150537634407,1.0,8.0
1.0525499999999999,1.6065,-0.23,-0.26,62.0,2.0,2.0,1.0,2.0,336.47375504710635,2.0,11.0
1.1377999999999997,1.674,-0.09,-0.16,52.0,0.0,1.0,3.0,2.0,335.4579000335458,1.0,9.0
1.1045,1.665,-0.1,-0.41,53.0,1.0,2.0,0.0,7.0,335.9086328518643,0.0,11.0
1.1276,1.668,-0.03,-0.34,53.0,0.0,1.0,1.0,8.0,335.4579000335458,0.0,10.0
1.13035,1.6905,-0.06,-0.41,49.0,0.0,2.0,2.0,7.0,335.5704697986577,1.0,5.0
1.1441999999999999,1.656,-0.03,-0.09,54.0,0.0,0.0,1.0,3.0,336.1344537815126,1.0,6.0
1.13695,1.6785,-0.03,-0.32,49.0,0.0,2.0,1.0,4.0,337.26812816188874,1.0,7.0
1.1396499999999998,1.6695,0.0,-0.29,52.0,0.0,2.0,0.0,3.0,336.02150537634407,1.0,9.0
1.16925,1.6875,0.0,-0.12,50.0,0.0,0.0,0.0,4.0,335.2329869259135,0.0,10.0
1.1665499999999998,1.6965,0.0,-0.21,45.0,0.0,0.0,0.0,7.0,338.1805884342239,2.0,4.0
1.1268999999999998,1.677,-0.19,-0.09,51.0,1.0,0.0,3.0,3.0,335.6831151393085,0.0,11.0
1.1908999999999998,1.737,-0.03,-0.19,40.0,0.0,1.0,1.0,3.0,336.47375504710635,1.0,3.0
1.13745,1.6935,-0.1,-0.28,47.0,1.0,1.0,0.0,6.0,336.92722371967653,0.0,8.0
1.0856999999999999,1.671,-0.2,-0.44,51.0,2.0,2.0,0.0,8.0,336.81374200067364,0.0,15.0
1.1601,1.683,-0.03,-0.12,50.0,0.0,0.0,1.0,4.0,335.795836131632,1.0,5.0
1.1389,1.677,-0.13,-0.09,50.0,1.0,0.0,1.0,3.0,336.58700774150117,1.0,5.0
1.17265,1.7295,-0.13,-0.12,42.0,1.0,0.0,1.0,4.0,336.02150537634407,0.0,15.0
1.1848999999999998,1.737,0.0,-0.31,41.0,0.0,1.0,0.0,7.0,335.9086328518643,0.0,6.0
1.1705999999999999,1.698,-0.06,-0.06,48.0,0.0,0.0,2.0,2.0,335.4579000335458,1.0,12.0
1.16975,1.7025,0.0,-0.22,46.0,0.0,1.0,0.0,4.0,336.3605785401951,1.0,6.0
1.1678499999999998,1.7355,-0.03,-0.41,41.0,0.0,2.0,1.0,7.0,335.795836131632,0.0,9.0
1.0961500000000002,1.6245,-0.13,-0.15,60.0,1.0,0.0,1.0,5.0,335.6831151393085,0.0,15.0
1.1782999999999997,1.779,-0.29,-0.09,32.0,2.0,0.0,3.0,3.0,337.38191632928476,2.0,7.0
1.12805,1.6815,-0.09,-0.31,48.0,0.0,1.0,3.0,7.0,337.38191632928476,0.0,11.0
1.0505,1.605,-0.16,-0.41,61.0,1.0,2.0,2.0,7.0,337.4957813027337,1.0,19.0
1.12455,1.6365,-0.03,-0.15,57.0,0.0,0.0,1.0,5.0,336.3605785401951,0.0,11.0
1.07815,1.6245,-0.12,-0.35,59.0,0.0,2.0,4.0,5.0,336.3605785401951,1.0,14.0
1.1983499999999998,1.7205,0.0,-0.06,43.0,0.0,0.0,0.0,2.0,336.58700774150117,1.0,6.0
1.1116499999999998,1.6695,-0.16,-0.25,52.0,1.0,1.0,2.0,5.0,336.02150537634407,0.0,13.0
1.15515,1.6845,-0.03,-0.18,49.0,0.0,0.0,1.0,6.0,336.3605785401951,1.0,5.0
1.1354,1.662,-0.06,-0.16,53.0,0.0,1.0,2.0,2.0,336.2474781439139,1.0,9.0
1.0988499999999999,1.6155,0.0,-0.32,58.0,0.0,2.0,0.0,4.0,338.1805884342239,0.0,10.0
1.1199,1.677,-0.16,-0.22,50.0,1.0,1.0,2.0,4.0,336.47375504710635,0.0,10.0
1.2046499999999998,1.7295,0.0,-0.06,43.0,0.0,0.0,0.0,2.0,335.2329869259135,0.0,7.0
1.19475,1.7325,-0.03,-0.12,39.0,0.0,0.0,1.0,4.0,338.1805884342239,3.0,4.0
