avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.8295,32.0,0.0,0.0,15.0,0.0,355.36602700781805,0.0,5.0
0.7674500000000001,37.0,0.0,1.0,12.0,1.0,350.0175008750437,0.0,3.0
0.7457,37.0,0.0,1.0,8.0,2.0,352.6093088857546,1.0,2.0
0.7791500000000001,32.0,0.0,1.0,8.0,1.0,351.6174402250352,0.0,2.0
0.8188500000000001,37.0,0.0,0.0,4.0,1.0,349.8950314905528,0.0,1.0
0.7706,33.0,1.0,0.0,11.0,3.0,359.0664272890485,0.0,3.0
0.8199000000000001,33.0,0.0,0.0,8.0,1.0,353.2320734722713,0.0,2.0
0.8462999999999999,27.0,0.0,0.0,4.0,0.0,355.7452863749555,0.0,1.0
0.8235,37.0,0.0,0.0,15.0,0.0,352.485019386676,1.0,4.0
0.8067000000000001,36.0,0.0,0.0,8.0,2.0,350.0175008750437,0.0,2.0
0.8139,32.0,0.0,0.0,13.0,1.0,355.7452863749555,1.0,4.0
0.79185,36.0,0.0,0.0,0.0,2.0,355.6187766714083,0.0,1.0
0.8038500000000001,38.0,0.0,0.0,0.0,2.0,349.7726477789437,1.0,0.0
0.82515,25.0,0.0,0.0,4.0,2.0,355.1136363636364,0.0,2.0
0.7462000000000001,23.0,0.0,2.0,8.0,2.0,350.50823694356814,0.0,2.0
0.8427,30.0,0.0,0.0,16.0,0.0,352.85815102328866,1.0,7.0
0.82325,31.0,1.0,0.0,11.0,1.0,353.60678925035364,0.0,3.0
0.8181,33.0,0.0,0.0,4.0,1.0,354.10764872521247,0.0,2.0
0.68745,43.0,0.0,0.0,4.0,8.0,353.60678925035364,0.0,1.0
0.77955,41.0,0.0,0.0,16.0,2.0,353.1073446327684,0.0,5.0
0.76565,29.0,0.0,1.0,4.0,2.0,354.48422545196735,2.0,2.0
0.805,27.0,1.0,1.0,15.0,0.0,351.98873636043646,0.0,4.0
0.8286,28.0,0.0,0.0,4.0,1.0,355.7452863749555,0.0,2.0
0.731,42.0,0.0,1.0,16.0,1.0,357.0153516601214,1.0,6.0
0.7644500000000001,30.0,0.0,1.0,8.0,2.0,353.4817956875221,0.0,2.0
0.7416,39.0,0.0,0.0,8.0,5.0,353.73187124159887,3.0,2.0
0.783,37.0,0.0,0.0,12.0,2.0,356.3791874554526,2.0,3.0
0.8091,34.0,0.0,0.0,4.0,1.0,355.99857600569595,0.0,1.0
0.7409000000000001,40.0,0.0,1.0,8.0,1.0,356.3791874554526,0.0,3.0
0.82125,33.0,0.0,0.0,16.0,1.0,352.23670306445933,1.0,4.0
0.7676000000000001,30.0,0.0,1.0,4.0,1.0,357.9098067287044,0.0,1.0
0.80445,31.0,0.0,0.0,8.0,2.0,355.4923569143263,0.0,2.0
0.83385,28.0,0.0,0.0,4.0,1.0,353.73187124159887,0.0,1.0
0.8635499999999999,22.0,0.0,0.0,4.0,0.0,355.2397868561279,0.0,2.0
0.7327,30.0,1.0,1.0,0.0,4.0,354.6099290780142,1.0,0.0
0.7454000000000001,37.0,0.0,1.0,8.0,1.0,357.653791130186,1.0,2.0
0.73235,39.0,0.0,1.0,20.0,2.0,354.10764872521247,1.0,6.0
0.78975,39.0,0.0,0.0,12.0,2.0,351.74111853675697,0.0,3.0
0.81645,31.0,0.0,0.0,12.0,1.0,356.1253561253561,1.0,5.0
0.84825,28.0,0.0,0.0,0.0,0.0,354.23308537017357,0.0,0.0
0.75515,30.0,0.0,1.0,0.0,3.0,352.6093088857546,0.0,0.0
0.71,34.0,0.0,1.0,4.0,4.0,358.0379520229144,0.0,1.0
0.8277,28.0,0.0,0.0,12.0,1.0,354.98757543485976,0.0,3.0
0.82035,28.0,0.0,0.0,0.0,2.0,354.10764872521247,0.0,1.0
0.75825,36.0,0.0,0.0,0.0,5.0,352.23670306445933,0.0,1.0
0.795,27.0,0.0,0.0,13.0,3.0,357.14285714285717,1.0,3.0
0.7834500000000001,40.0,0.0,0.0,8.0,2.0,353.73187124159887,1.0,2.0
0.6962999999999999,44.0,0.0,0.0,16.0,7.0,353.35689045936397,0.0,5.0
0.77595,38.0,0.0,0.0,4.0,3.0,353.60678925035364,1.0,1.0
0.7921500000000001,38.0,0.0,0.0,4.0,2.0,352.85815102328866,0.0,2.0
0.84675,30.0,0.0,0.0,0.0,0.0,353.1073446327684,0.0,0.0
0.79995,36.0,0.0,0.0,8.0,2.0,352.23670306445933,0.0,2.0
0.7901,31.0,0.0,1.0,4.0,1.0,349.40600978336823,1.0,2.0
0.75875,28.0,0.0,1.0,8.0,3.0,352.485019386676,0.0,2.0
0.8076500000000001,40.0,1.0,0.0,3.0,1.0,350.754121360926,1.0,1.0
0.74725,30.0,0.0,2.0,0.0,0.0,353.2320734722713,0.0,0.0
0.67845,39.0,2.0,1.0,11.0,5.0,357.39814152966403,2.0,3.0
0.7446500000000001,34.0,0.0,1.0,0.0,3.0,351.8648838845883,0.0,0.0
0.8192999999999999,40.0,0.0,0.0,4.0,0.0,351.8648838845883,0.0,1.0
0.8091499999999999,29.0,1.0,0.0,15.0,3.0,350.2626970227671,0.0,4.0
0.79695,35.0,0.0,0.0,12.0,1.0,358.2945180938732,0.0,4.0
0.8058500000000001,28.0,0.0,1.0,8.0,0.0,351.74111853675697,0.0,2.0
0.7804500000000001,38.0,0.0,0.0,4.0,3.0,351.74111853675697,0.0,2.0
0.843,23.0,0.0,0.0,16.0,1.0,354.86160397444996,0.0,4.0
0.8462999999999999,25.0,0.0,0.0,0.0,1.0,353.4817956875221,0.0,0.0
0.76565,37.0,0.0,1.0,17.0,0.0,354.98757543485976,2.0,5.0
0.8229000000000001,29.0,0.0,0.0,4.0,2.0,351.8648838845883,1.0,3.0
0.80865,35.0,0.0,0.0,8.0,1.0,355.1136363636364,0.0,2.0
0.8136,35.0,0.0,0.0,4.0,1.0,353.8570417551309,1.0,2.0
0.7551500000000001,30.0,0.0,1.0,4.0,2.0,357.14285714285717,0.0,2.0
0.8042999999999999,33.0,0.0,0.0,11.0,2.0,353.2320734722713,0.0,4.0
0.6660499999999999,34.0,1.0,3.0,15.0,1.0,353.35689045936397,0.0,4.0
0.7576499999999999,40.0,0.0,0.0,20.0,3.0,355.8718861209964,0.0,5.0
0.6753499999999999,41.0,0.0,1.0,4.0,6.0,352.85815102328866,0.0,1.0
0.7995,31.0,0.0,0.0,8.0,3.0,352.485019386676,2.0,2.0
0.7653,40.0,0.0,0.0,12.0,3.0,354.48422545196735,2.0,3.0
0.8297,29.0,1.0,0.0,7.0,1.0,353.73187124159887,0.0,2.0
0.8112,32.0,0.0,0.0,8.0,2.0,352.485019386676,0.0,2.0
0.68515,38.0,0.0,2.0,9.0,2.0,355.7452863749555,1.0,3.0
0.774,34.0,0.0,0.0,8.0,3.0,357.78175313059035,2.0,2.0
0.7869,37.0,0.0,0.0,4.0,2.0,355.8718861209964,2.0,1.0
0.81675,32.0,0.0,0.0,16.0,1.0,354.23308537017357,0.0,4.0
0.68255,36.0,0.0,1.0,0.0,6.0,355.8718861209964,0.0,1.0
0.8244000000000001,30.0,0.0,0.0,8.0,1.0,354.6099290780142,0.0,2.0
0.8145,27.0,0.0,0.0,8.0,3.0,351.24692658939233,0.0,2.0
0.8425499999999999,30.0,0.0,0.0,0.0,1.0,349.7726477789437,0.0,1.0
0.7817,37.0,1.0,0.0,23.0,2.0,355.2397868561279,0.0,6.0
0.80735,23.0,0.0,1.0,8.0,0.0,355.8718861209964,0.0,2.0
0.79745,27.0,0.0,1.0,16.0,0.0,354.6099290780142,1.0,4.0
